FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,193428,763706,957134,0.0114,419809,-0.0035
2025,R4,2,193428,752937,946365,-0.0204,421271,0.0026
2024,R4,2,193428,772636,966064,0.0415,420183,0.014
2023,R4,2,193428,734162,927590,0.0694,414383,0.0616
2022,R4,2,193428,673978,867406,-0.1089,390333,-0.0416
2021,R4,2,193428,779951,973379,0.0419,407290,0.0261
2020,R4,2,193428,740840,934268,0.0362,396912,0.0335
2019,R4,2,193428,708200,901628,0.0507,384028,0.0266
2018,R4,2,193428,664659,858087,0.2179,374080,0.2513
2017,R4,2,193428,511114,704542,,298956,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jul 19 2023 00:00:00 GMT-0400 (Eastern Daylight Time),9300000,432MM PARK LLC,PARKVAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023072400908001,Thu Jul 27 2023 15:51:17 GMT-0400 (Eastern Daylight Time)
DEED,Fri Apr 01 2016 00:00:00 GMT-0400 (Eastern Daylight Time),9646333,"56TH AND PARK (NY) OWNER, LL",432MM PARK LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016040501176001,Fri Apr 08 2016 14:54:07 GMT-0400 (Eastern Daylight Time)
