FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,33401,131878,165279,0.0114,72491,-0.0035
2025,R4,2,33401,130018,163419,-0.0204,72744,0.0026
2024,R4,2,33401,133420,166821,0.0415,72556,0.014
2023,R4,2,33401,126776,160177,0.0694,71554,0.0616
2022,R4,2,33401,116383,149784,-0.1089,67402,-0.0416
2021,R4,2,33401,134683,168084,0.0419,70329,0.0261
2020,R4,2,33401,127929,161330,0.0362,68538,0.0335
2019,R4,2,33401,122293,155694,0.0507,66316,0.0266
2018,R4,2,33401,114774,148175,0.2179,64599,0.2513
2017,R4,2,33401,88260,121661,,51627,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Dec 28 2017 00:00:00 GMT-0500 (Eastern Standard Time),1620000,M.A.H ART HOLDINGS LTD,ARIYAS HOLDING INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2018010800804001,Wed Jan 10 2018 10:58:07 GMT-0500 (Eastern Standard Time)
DEED,Thu Sep 08 2016 00:00:00 GMT-0400 (Eastern Daylight Time),1568140,56TH AND PARK (NY) OWNER LLC,M.A.H. ART HOLDINGS LTD,-,SINGLE RESIDENTIAL CONDO UNIT,2016091200844001,Tue Sep 20 2016 11:46:14 GMT-0400 (Eastern Daylight Time)
