FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,89111,1577306,1666417,-0.0614,749888,-0.049
2025,R4,2,89111,1686317,1775428,-0.0316,788543,-0.0107
2024,R4,2,89111,1744181,1833292,0.0009,797086,0.2726
2023,R4,2,89111,1742442,1831553,0.0002,626326,0.0282
2022,R4,2,89111,1742044,1831155,0.0005,609141,0.3012
2021,R4,2,89111,1741132,1830243,0.0142,468152,-0.0036
2020,R4,2,89111,1715483,1804594,-0.0004,469821,0.4296
2019,R4,2,89111,1716178,1805289,0.003,328633,0.0324
2018,R4,2,89111,1710750,1799861,-0.0503,318326,0.8749
2017,R4,2,89111,1806069,1895180,0.1943,169784,0.0415
2016,R4,2,89111,1497724,1586835,0.0447,163012,4.1992
2015,R4,2,89111,1429866,1518977,,31353,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jul 28 2014 00:00:00 GMT-0400 (Eastern Daylight Time),22150438,EXTELL WEST 57TH STREET LLC,"RGL ONE 57, LLC; BUNKER HILL PROPERTIES, INC.; 56A PROPERTY CO., LLC; ESSER MANAGEMENT CORP.",-,MULTIPLE RESIDENTIAL CONDO UNT,2014072900358001,Wed Aug 06 2014 14:47:47 GMT-0400 (Eastern Daylight Time)
