FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,103205,2296403,2399608,-0.053,1058264,-0.0289
2025,R4,2,103205,2430691,2533896,0.0085,1089728,-0.0039
2024,R4,2,103205,2409440,2512645,0.0065,1094009,0.2736
2023,R4,2,103205,2393107,2496312,0.019,858971,0.0298
2022,R4,2,103205,2346452,2449657,-0.0507,834127,0.3077
2021,R4,2,103205,2477211,2580416,0.0338,637861,0.0203
2020,R4,2,103205,2392830,2496035,0.0047,625144,0.4519
2019,R4,2,103205,2381201,2484406,0.022,430562,0.0454
2018,R4,2,103205,2327624,2430829,,411880,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Feb 11 2021 00:00:00 GMT-0500 (Eastern Standard Time),11231750,EXTELL WEST 57TH STREET II LLC,PARKSVILLE INVESTMENTS CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2021021700159001,Mon Feb 22 2021 11:27:40 GMT-0500 (Eastern Standard Time)
DEED,Mon Jun 29 2020 00:00:00 GMT-0400 (Eastern Daylight Time),-,EXTELL WEST 57TH STREET LLC,EXTELL WEST 57TH STREET II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020070200773001,Mon Jul 06 2020 16:16:41 GMT-0400 (Eastern Daylight Time)
