FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,56918,1266481,1323399,-0.053,583639,-0.0289
2025,R4,2,56918,1340542,1397460,0.0085,600992,-0.0039
2024,R4,2,56918,1328822,1385740,0.0065,603352,0.2736
2023,R4,2,56918,1319814,1376732,0.019,473727,0.0298
2022,R4,2,56918,1294084,1351002,-0.0507,460027,0.3077
2021,R4,2,56918,1366198,1423116,0.0338,351784,0.0203
2020,R4,2,56918,1319661,1376579,0.0047,344772,0.4519
2019,R4,2,56918,1313248,1370166,0.022,237458,0.0454
2018,R4,2,56918,1283700,1340618,,227155,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Feb 06 2019 00:00:00 GMT-0500 (Eastern Standard Time),9020030,EXTELL WEST 57TH STREET LLC,"A&R BIG APPLE, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2019020800394001,
