FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,49191,1094551,1143742,-0.053,504408,-0.0289
2025,R4,2,49191,1158558,1207749,0.0085,519405,-0.0039
2024,R4,2,49191,1148429,1197620,0.0065,521444,0.2736
2023,R4,2,49191,1140644,1189835,0.019,409417,0.0298
2022,R4,2,49191,1118407,1167598,-0.0507,397575,0.3077
2021,R4,2,49191,1180731,1229922,0.0338,304028,0.0203
2020,R4,2,49191,1140512,1189703,0.0047,297966,0.4519
2019,R4,2,49191,1134969,1184160,0.022,205221,0.0454
2018,R4,2,49191,1109432,1158623,,196317,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jul 31 2018 00:00:00 GMT-0400 (Eastern Daylight Time),7614537,EXTELL WEST 57TH STREET LLC,RYKPAPI LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2018081300786001,Mon Aug 13 2018 16:03:58 GMT-0400 (Eastern Daylight Time)
