FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,125753,2225894,2351647,-0.0614,1058241,-0.049
2025,R4,2,125753,2379729,2505482,-0.0316,1112791,-0.0107
2024,R4,2,125753,2461388,2587141,0.0009,1124850,0.2726
2023,R4,2,125753,2458933,2584686,0.0002,883871,0.0282
2022,R4,2,125753,2458372,2584125,0.0005,859619,0.3012
2021,R4,2,125753,2457085,2582838,0.0142,660654,-0.0036
2020,R4,2,125753,2420888,2546641,-0.0004,663011,0.4296
2019,R4,2,125753,2421869,2547622,0.003,463765,0.0324
2018,R4,2,125753,2414210,2539963,-0.0503,449220,0.8749
2017,R4,2,125753,2548723,2674476,0.1943,239597,0.0415
2016,R4,2,125753,2113587,2239340,0.0447,230041,4.1994
2015,R4,2,125753,2017827,2143580,,44244,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Dec 22 2020 00:00:00 GMT-0500 (Eastern Standard Time),16750000,ONE 57 REALTY LLC,157 WEST 57 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020123100198002,Wed Jan 06 2021 11:27:57 GMT-0500 (Eastern Standard Time)
DEED,Thu Oct 02 2014 00:00:00 GMT-0400 (Eastern Daylight Time),34000000,SSO ENTERPRISES LLC,ONE 57 REALTY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2014100300828001,Fri Oct 10 2014 12:07:33 GMT-0400 (Eastern Daylight Time)
DEED,Thu May 01 2014 00:00:00 GMT-0400 (Eastern Daylight Time),30551000,EXTELL WEST 57TH STREET LLC,SSO ENTERPRISES LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2014050900877001,5/12/2014 11:37:28 A
