FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,87677,1551930,1639607,-0.0614,737824,-0.049
2025,R4,2,87677,1659186,1746863,-0.0316,775856,-0.0107
2024,R4,2,87677,1716120,1803797,0.001,784264,0.2726
2023,R4,2,87677,1714408,1802085,0.0002,616249,0.0282
2022,R4,2,87677,1714017,1801694,0.0005,599341,0.3012
2021,R4,2,87677,1713120,1800797,0.0142,460619,-0.0036
2020,R4,2,87677,1687883,1775560,-0.0004,462262,0.4296
2019,R4,2,87677,1688567,1776244,0.003,323345,0.0324
2018,R4,2,87677,1683227,1770904,-0.0503,313204,0.8749
2017,R4,2,87677,1777012,1864689,0.1943,167051,0.0415
2016,R4,2,87677,1473628,1561305,0.0447,160388,4.1995
2015,R4,2,87677,1406862,1494539,,30847,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 20 2014 00:00:00 GMT-0400 (Eastern Daylight Time),21386750,EXTELL WEST 57TH STREET LLC,"TSAI UENG, MEI-HUI",-,SINGLE RESIDENTIAL CONDO UNIT,2014062700605002,
