FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,86951,1539077,1626028,-0.0614,731713,-0.049
2025,R4,2,86951,1645445,1732396,-0.0316,769429,-0.0107
2024,R4,2,86951,1701907,1788858,0.0009,777768,0.2726
2023,R4,2,86951,1700210,1787161,0.0002,611146,0.0282
2022,R4,2,86951,1699822,1786773,0.0005,594378,0.3012
2021,R4,2,86951,1698932,1785883,0.0142,456804,-0.0036
2020,R4,2,86951,1673904,1760855,-0.0004,458434,0.4296
2019,R4,2,86951,1674582,1761533,0.003,320667,0.0324
2018,R4,2,86951,1669286,1756237,-0.0503,310610,0.8749
2017,R4,2,86951,1762294,1849245,0.1943,165668,0.0415
2016,R4,2,86951,1461423,1548374,0.0447,159060,4.1994
2015,R4,2,86951,1395210,1482161,,30592,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Feb 02 2023 00:00:00 GMT-0500 (Eastern Standard Time),13400000,53-A LLC,GROUP TEZEL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023020800593001,Thu Feb 09 2023 09:03:03 GMT-0500 (Eastern Standard Time)
DEED,Wed Jul 30 2014 00:00:00 GMT-0400 (Eastern Daylight Time),21895875,EXTELL WEST 57TH STREET LLC,53-A LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2014080101154001,Wed Sep 03 2014 16:38:40 GMT-0400 (Eastern Daylight Time)
