FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,45970,1022879,1068849,-0.053,471379,-0.0289
2025,R4,2,45970,1082695,1128665,0.0085,485394,-0.0039
2024,R4,2,45970,1073229,1119199,0.0065,487299,0.2736
2023,R4,2,45970,1065954,1111924,0.019,382608,0.0298
2022,R4,2,45970,1045172,1091142,-0.0507,371543,0.3077
2021,R4,2,45970,1103416,1149386,0.0338,284121,0.0204
2020,R4,2,45970,1065830,1111800,0.0047,278453,0.4519
2019,R4,2,45970,1060651,1106621,0.022,191782,0.0454
2018,R4,2,45970,1036786,1082756,,183461,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jul 07 2017 00:00:00 GMT-0400 (Eastern Daylight Time),6605809,EXTELL WEST 57TH STREET LLC,TELL PROPERTY HOLDINGS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017071100009001,Tue Jul 11 2017 10:07:29 GMT-0400 (Eastern Daylight Time)
