FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,123705,2189641,2313346,-0.0614,1041005,-0.049
2025,R4,2,123705,2340971,2464676,-0.0316,1094668,-0.0107
2024,R4,2,123705,2421300,2545005,0.0009,1106529,0.2726
2023,R4,2,123705,2418885,2542590,0.0002,869476,0.0282
2022,R4,2,123705,2418333,2542038,0.0005,845619,0.3012
2021,R4,2,123705,2417067,2540772,0.0142,649895,-0.0036
2020,R4,2,123705,2381460,2505165,-0.0004,652213,0.4296
2019,R4,2,123705,2382425,2506130,0.003,456213,0.0324
2018,R4,2,123705,2374890,2498595,-0.0503,441904,0.8749
2017,R4,2,123705,2507213,2630918,0.1943,235696,0.0415
2016,R4,2,123705,2079164,2202869,0.0447,226295,4.1993
2015,R4,2,123705,1984963,2108668,,43524,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Nov 26 2019 00:00:00 GMT-0500 (Eastern Standard Time),19060000,TOWER 67B LLC,EVER JOY ASSET INC,-,SINGLE RESIDENTIAL CONDO UNIT,2019120700019001,Tue Dec 17 2019 11:04:39 GMT-0500 (Eastern Standard Time)
DEED,Wed Jul 29 2015 00:00:00 GMT-0400 (Eastern Daylight Time),28005375,EXTELL WEST 57TH STREET LLC,TOWER 67B LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2015080700005001,Wed Aug 19 2015 14:43:58 GMT-0400 (Eastern Daylight Time)
