FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,130743,2314218,2444961,-0.0614,1100232,-0.049
2025,R4,2,130743,2474157,2604900,-0.0316,1156946,-0.0107
2024,R4,2,130743,2559056,2689799,0.0009,1169483,0.2726
2023,R4,2,130743,2556504,2687247,0.0002,918943,0.0282
2022,R4,2,130743,2555920,2686663,0.0005,893730,0.3012
2021,R4,2,130743,2554582,2685325,0.0142,686870,-0.0036
2020,R4,2,130743,2516949,2647692,-0.0004,689319,0.4296
2019,R4,2,130743,2517970,2648713,0.003,482168,0.0324
2018,R4,2,130743,2510006,2640749,-0.0503,467046,0.8749
2017,R4,2,130743,2649857,2780600,0.1943,249105,0.0415
2016,R4,2,130743,2197455,2328198,0.0447,239170,4.1993
2015,R4,2,130743,2097895,2228638,,46000,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 09 2018 00:00:00 GMT-0500 (Eastern Standard Time),23000000,ONE57 63A LLC,XANTHOS INVESTMENTS LIMITED,-,SINGLE RESIDENTIAL CONDO UNIT,2018031400926001,Tue Mar 20 2018 17:08:34 GMT-0400 (Eastern Daylight Time)
DEED,Tue Jul 29 2014 00:00:00 GMT-0400 (Eastern Daylight Time),32571705,EXTELL WEST 57TH STREET LLC,ONE57 63A LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2014073101175001,Fri Aug 08 2014 15:59:03 GMT-0400 (Eastern Daylight Time)
