FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,588271,2318129,2906400,0.0239,1280896,0.0028
2025,R4,2,588271,2250326,2838597,0.0244,1277369,0.0244
2024,R4,2,588271,2182642,2770913,0.0429,1246911,0.1822
2023,R4,2,588271,2068693,2656964,0.1967,1054776,0.3404
2022,R4,2,588271,1631984,2220255,,786934,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 08 2022 00:00:00 GMT-0400 (Eastern Daylight Time),26297770,111 WEST 57TH PROPERTY OWNER LLC,DARWIN HOLDING LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022092000694001,Thu Sep 22 2022 15:15:56 GMT-0400 (Eastern Daylight Time)
